,0,1,2
0,0.000562631,0.000826179,0.462116371
1,0.005214392,0.009782555,0.462020489
2,0.003146289,0.003708121,0.462098557
3,0.000911175,0.000516386,0.462116295
4,0.004137449,0.003734051,0.462092727
5,0.004125787,0.00342574,0.46209454
6,0.002790989,0.00202893,0.462107793
7,0.002540627,0.001904785,0.462109227
8,0.001350538,0.001088826,0.46211479
9,0.001037229,0.0004467,0.462116154
10,0.004592918,0.00481705,0.462082316
11,0.001114754,0.000472692,0.462116004
12,0.006293315,0.009412457,0.462016311
13,0.00252458,0.001795159,0.46210961
14,0.000985527,0.001537787,0.462114534
15,0.005170022,0.006693778,0.462060891
16,0.002407959,0.001425328,0.462110999
17,0.00480083,0.004977206,0.462079546
18,0.002640853,0.001900473,0.462108832
19,0.000407194,0.000479131,0.462116846
20,0.002267736,0.001360832,0.462111656
21,0.003614467,0.003903622,0.462094898
22,0.007910778,0.01498572,0.461891204
23,0.000531319,0.000423321,0.462116794
24,0.002981902,0.002258592,0.462106152
25,0.002106946,0.000989909,0.462112895
26,0.002179627,0.000798679,0.462112919
27,0.002241455,0.001252933,0.462111971
28,0.00414361,0.003132036,0.462095938
29,0.000400403,0.000468859,0.462116858
30,0.000562917,0.000431972,0.462116761
31,0.004093824,0.005984906,0.462075803
32,0.004272907,0.003050296,0.46209548
33,0.002287533,0.001027939,0.462112211
34,0.000273466,0.000355506,0.462116999
35,0.001462359,0.000745534,0.462115038
36,0.001985605,0.001055734,0.46211318
37,0.005645877,0.004516719,0.46207604
38,0.000439982,0.000460976,0.462116838
39,0.002190042,0.00145638,0.462111717
40,0.00393922,0.004365964,0.462089961
41,0.003131308,0.00369999,0.462098679
42,0.003268145,0.001736107,0.462106387
43,0.002930015,0.002434604,0.462105744
44,0.00312504,0.003046914,0.462102175
45,0.001332984,0.000904006,0.462115117
46,0.002652026,0.00569665,0.462086102
47,0.003935657,0.004887229,0.462086189
48,0.002375281,0.000971095,0.462111978
49,0.000465006,0.000397114,0.462116863
50,0.004069765,0.006951077,0.462066126
51,0.002932913,0.00469683,0.462093042
52,0.001018315,0.000594017,0.462116064
53,0.000476915,0.000456116,0.462116815
54,0.002481437,0.001779812,0.462109823
55,0.000421752,0.000389028,0.462116898
56,0.00213117,0.001169389,0.46211251
57,0.000262366,0.000461765,0.462116935
58,0.001140036,0.000492152,0.462115945
59,0.002838181,0.003116571,0.462103183
60,0.002498145,0.001589519,0.462110262
61,0.002774775,0.00373595,0.462100125
62,0.001060772,0.000409392,0.46211614
63,0.003386687,0.00313692,0.462100397
64,0.000679728,0.000761975,0.462116337
65,0.005448578,0.008287466,0.462039781
66,0.002142564,0.00137335,0.462112064
67,0.003130097,0.002059216,0.462106117
68,0.003378183,0.002596473,0.46210288
69,0.000792609,0.000678813,0.462116301
70,0.000814341,0.000746479,0.462116197
71,0.002279546,0.002095712,0.462109616
72,0.002256875,0.001196571,0.462112025
73,0.001676753,0.001339696,0.462113535
74,0.002847141,0.001772996,0.46210831
75,0.002509492,0.001497332,0.462110441
76,0.003673073,0.0037478,0.462095499
77,0.006849095,0.011587678,0.461974617
78,0.003992145,0.007222973,0.462063586
79,0.003119647,0.002508275,0.462104555
80,0.003489874,0.003026625,0.462100374
81,0.002835349,0.002412253,0.462106258
82,0.000295976,0.000506119,0.462116887
83,0.002175123,0.001868341,0.462110691
84,0.000502848,0.000436785,0.462116808
85,0.00106642,0.000542571,0.462116031
86,0.000653985,0.000357512,0.46211672
87,0.002528588,0.001228173,0.462110942
88,0.002865377,0.00172795,0.462108352
89,0.002481329,0.001217207,0.46211115
90,0.005178828,0.009738443,0.462021458
91,0.00183068,0.001132995,0.462113512
92,0.000977306,0.000509259,0.462116202
93,0.003054509,0.003034436,0.462102578
94,0.00067666,0.000330929,0.462116711
95,0.003716295,0.004993089,0.462086687
96,0.001971046,0.001124227,0.462113108
97,0.002689085,0.001871605,0.462108715
98,0.002044046,0.001122181,0.462112881
99,0.001200953,0.000609958,0.46211573
100,0.003313739,0.002554007,0.462103391
101,0.005495022,0.003492059,0.462083817
102,0.000421647,0.000705439,0.462116626
103,0.000985706,0.000483481,0.462116209
104,0.003397239,0.002747771,0.462102142
